,Department,Course,Credit Hours,Lecture Hours,Lab Hours,Grade Mode,Description
30,Accounting (ACC),"ACC 5378. Tax Practice, Procedures, Audits and Controversy.",3,3,0,Standard Letter,"This course focuses on the procedural aspects of tax planning and tax return preparation.  Coverage includes IRS enforcement tools and corresponding taxpayer rights, audits and appeals, civil and criminal penalties, and statutory relief provisions.  Professional standards and ethical considerations in tax practice are emphasized. Corequisite: ACC 5366 with a grade of ""C"" or better."
31,Accounting (ACC),ACC 5389. Corporate Governance and Ethics.,3,3,0,Standard Letter,"A study of the corporate governance and ethical issues in accounting, including ethical reasoning, integrity, objectivity, independence, core values and professional issues. Prerequisites: ACC 3314 with a grade of ""B"" or better and ACC 3363 and ACC 3365 and ACC 4313 and [ACC 4328 or ACC 5340] all with grades of ""C"" or better."
32,Accounting (ACC),ACC 5390A. International Accounting.,3,3,0,Standard Letter,"A study of the impact of international business activity on accounting standard setting. This course investigates the development of international accounting standards and compares those standards to US standards. Students taking ACC 4390A for credit may not take ACC 5390A for credit. (MULT) Prerequisite: ACC 3313 with a grade of  ""B"" or better."
33,Accounting (ACC),"ACC 5390F. Mergers, Acquisitions, and Consolidations Taxation.",3,3,0,Standard Letter,"This course on mergers, acquisitions and consolidations will examine the tax ramifications and corporate strategies considerations of buying, selling and combining different companies; the onsolidated tax return consequences of those affiliated groups; and the residual outcomes and tax attributes that result from corporate divisions. Prerequisite: ACC 5366 with a grade of ""C"" or better."
34,Accounting (ACC),ACC 5390G. Sustainability Reporting.,3,3,0,Standard Letter,This course on sustainability reporting strategies will examine analytical methods and reporting techniques used by for-profit and non-profit companies to support sustainable operations.
35,Accounting (ACC),ACC 5390I. Regulation and Professionalism.,3,3,0,Standard Letter,"This course will cover the professional and legal responsibilities and liabilities of the accounting profession and tax preparers; the commercial law applicable to business transactions; and the legal structure of business organizations.  It will also provide a basic overview of corporate and partnership taxation, focusing on current topics and developments.  Prerequisite: ACC 3314 and ACC 4328 both with grades of ""B"" or better."
36,Accounting (ACC),ACC 5390K. Oil and Gas Taxation.,3,4,0,Standard Letter,"This course provides an introduction to US federal income taxation of domestic oil and gas operations and transactions. The course examines taxation associated with the operational life-cycle of oil and gas operations including exploration, development, production and abandonment. Certain international tax aspects will be considered. Prerequisite: ACC 4328 with a grade of ""B"" or better."
37,Accounting (ACC),ACC 5680. Internship in Accounting.,6,0,4,Credit/No Credit,"This internship involves experiential learning over one entire semester during which the students work in accounting. This work experience may be in public, industry, or governmental accounting units. The student is immersed in a variety of intensive work assignments with increasing levels of responsibility. Students taking ACC 5370 for credit may not take ACC 5680 for credit. Prerequisite: Instructor approval."
38,Adult Education (ADED),ADED 5199B. Thesis.,1,1,0,Credit/No Credit,This course represents a student’s continuing thesis enrollments. The student continues to enroll in this course until the thesis is submitted for binding.
39,Adult Education (ADED),ADED 5299B. Thesis.,2,2,0,Credit/No Credit,This course represents a student’s continuing thesis enrollments. The student continues to enroll in this course until the thesis is submitted for binding.
40,Adult Education (ADED),ADED 5314. Community Development for Educators.,3,3,0,Standard Letter,"Educators in community organizations and higher education will develop a theoretical and practical understanding of the role of learning, teaching, and leading within a community development framework. They will develop an awareness of self as change agent and community builder, as well as the importance of tapping into community assets."
41,Adult Education (ADED),ADED 5321. Adult Learning and Development.,3,3,0,Standard Letter,"This seminar will cover a range of topics of interest of professionals working with adult learners in a variety of settings, including characteristics and motivations of adult learners; theories of adult learning and intelligence; modes of adult cognitive and psychosocial development."
42,Adult Education (ADED),ADED 5322. Human Resources and Professional Development.,3,3,0,Standard Letter,This course examines the primary role of human resources development in the organization to help people and organizations effectively manage change. It focuses on strategies for implementing training and organizational development efforts that positively impact the performance of the individual and the work group.
43,Adult Education (ADED),ADED 5325. Teaching Adults: Principles and Practices.,3,3,0,Standard Letter,"This seminar addresses methods and techniques for effective instruction of adults across a variety of settings and content. The emphasis is on concepts, theories, and principles relevant to the selection, use, and evaluation of instructional strategies. Participants will have an opportunity to practice strategies that expand their teaching repertoire."
44,Adult Education (ADED),"ADED 5330. Planning, Evaluating, and Managing Programs in Adult Education.",3,3,0,Standard Letter,"This seminar course introduces skills and concepts needed to plan, evaluate, and manage adult education programs within various settings. This course addresses principles and procedures, utilization of assessment, goal setting, and other effective strategies for developing learning opportunities and programs responsive to human, professional, and community needs."
45,Adult Education (ADED),ADED 5334. Family Literacy.,3,3,0,Standard Letter,"Family literacy is an intergenerational program that integrates adult literacy and emergent literacy education. This course will provide students with the knowledge and abilities to manage family literacy program. Students will analyze related learning theories, population needs, program structures, and policy issues, including diversity and accountability."
46,Adult Education (ADED),ADED 5335. Applied Research in Adult Education.,3,3,0,Standard Letter,"An examination of purpose, principles, and methods of current research in adult education. Quantitative, qualitative, and mixed methods research design will be investigated as used in applied research including action research, evaluation research, and needs assessment."
47,Adult Education (ADED),ADED 5337. Adult Literacy.,3,3,0,Standard Letter,"The course is designed to provide students with a broad foundation about the needs of undereducated adults, including adult English language learners. Students will analyze and evaluate adult literacy legislation, instruction, research, and delivery systems."
48,Adult Education (ADED),ADED 5338. Applied Linguistics for ESL Teachers of Adults.,3,3,0,Standard Letter,"This course is designed to provide language teachers a practical introduction to the elements of the English language as applied to the teaching of ESL in adult settings; specifically, the course covers English syntactic structure, morphology, and phonology. (MULT)."
49,Adult Education (ADED),ADED 5339. Adult Literacy ESL Assessment and Evaluation.,3,3,0,Standard Letter,This course is an introduction to assessment of adult students with emphasis on literacy and ESL populations. It is an overview of assessment constructs and social and historical movements in student literacy assessment and evaluation traditional assessment and evaluation.
50,Adult Education (ADED),ADED 5340. Adult Second Language Acquisition.,3,3,0,Standard Letter,This course covers topics related to contemporary adult second language acquisition practices. It also examines the complexities of adult second language acquisition and the ways in which limited English-proficient adults learn more efficiently. Class readings and projects address a variety of issues dealing with adult second language acquisition.
51,Adult Education (ADED),ADED 5342. Adult ESL Methods and Materials.,3,3,0,Standard Letter,"This course reviews traditional and contemporary adult language teaching methodologies. It focuses on the design of lessons that integrate listening, speaking, reading, writing, culture and all language skills. This course provides strategies for choosing, adopting, and adapting textbooks that integrate teaching material appropriate to different adult language learning settings."
52,Adult Education (ADED),ADED 5343. Organizational Learning and Development.,3,3,0,Standard Letter,"The course addresses a range of topics, including the effects of change, methods of organizational change, and factors influencing organizational development success. Students learn the roles of internal and external organizational development consultants, tools and processes for helping organizational members identify problems, gather and analyze information, and implement solutions."
53,Adult Education (ADED),ADED 5344. Multicultural Perspectives in Postsecondary Education and Adult Education.,3,3,0,Standard Letter,"This seminar covers a broad range of topics related to diversity within postsecondary and adult education. Course readings and projects relate to a wide variety of settings including colleges and universities, adult literacy programs, the workplace, and community-based organizations. Students taking ADED 5344 may not take ADED 7344 for doctoral level credit. (MULT)."
54,Adult Education (ADED),"ADED 5345. Current Issues in Adult, Continuing and Professional Education.",3,3,0,Standard Letter,A seminar style course focusing on current issues in continuing and professional education including research and professional practice. Specific emphasis will vary depending on changes in contemporary issues. Students taking ADED 5345 may not take ADED 7345 for doctoral level credit.
55,Adult Education (ADED),ADED 5346. Adult and Nontraditional Students in Higher Education.,3,3,0,Standard Letter,"This seminar focuses on the ""nontraditional student"" in higher education, with emphasis on undergraduates 25 and older. Also considered are other nontraditional students facing similar challenges to participation in higher education. Topics include student characteristics, motivations, barriers, persistence, and outcomes as well as institutional and programmatic responses to this population."
56,Adult Education (ADED),ADED 5357. Advanced Studies in Action Research.,3,3,0,Standard Letter,"This course examines underlying theory, practice, skills, and issues in action research. Students will be introduced to various educational research methods used in action research and review the components and processes of action research. They will develop a plan for an action research project focused on a specific educational problem."
57,Adult Education (ADED),ADED 5364. Team Development in Education.,3,3,0,Standard Letter,"This course addresses the development and use of educational teams to improve educational organizations, teaching, and learning. Team development instruction focuses on managing teams, identifying leadership roles. Study topics include: the importance of shared leadership, product teams, and team decision-making."
58,Adult Education (ADED),ADED 5378. Problems in Adult Education.,3,3,0,Standard Letter,This course is designed to examine topical problems faced by practitioners in adult education. The topic of the course may change. Course may be repeated for credit with different topic.
59,Adult Education (ADED),ADED 5379. Independent Study.,3,3,0,Standard Letter,Individual problems or research topics designed to place emphasis on selected areas of study. May be repeated once for additional credit at the discretion of the department chair.
60,Adult Education (ADED),ADED 5382. Foundations of Adult Education.,3,3,0,Standard Letter,"This course will provide an overview of the field of adult education in its various forms and settings. Topics include (1) historical origins of adult education as a field of study and practice, (2) philosophical perspectives, (3) organization and delivery of adult education, and (4) emerging developments and issues in the profession."
61,Adult Education (ADED),ADED 5384. Internship in Adult Education.,3,0,1,Credit/No Credit,"The 150-clock hour internship is required of all Adult Education majors. The experience involves instruction and/or administration in an adult education setting and includes orientation to the roles, responsibilities, and functions of professionals in adult education. Prerequisites: ADED 5321 and ADED 5330 and ED 7324 and ADED 7325."
62,Adult Education (ADED),ADED 5389A. Oracy and Language Expression for Educators.,3,3,0,Standard Letter,"This course focuses on the theory and practice of public speaking in different contexts. It emphasizes interplay between audience analysis, speaker goals, organized outlines, delivery and development of personal style of presentation skills. The course offers experience writing, delivering, and constructively evaluating public speeches in a variety of contexts."
63,Adult Education (ADED),ADED 5399A. Thesis.,3,3,0,Credit/No Credit,This course represents a student’s initial thesis enrollment. No thesis credit is awarded until student has completed the thesis in Adult Education 5399B.
64,Adult Education (ADED),ADED 5399B. Thesis.,3,3,0,Credit/No Credit,This course represents a student’s continuing thesis enrollments. The student continues to enroll in this course until the thesis is submitted for binding.
65,Adult Education (ADED),ADED 5599B. Thesis.,5,5,0,Credit/No Credit,This course represents a student’s continuing thesis enrollments. The student continues to enroll in this course until the thesis is submitted for binding.
66,Adult Education (ADED),ADED 5999B. Thesis.,9,9,0,Credit/No Credit,This course represents a student’s continuing thesis enrollments. The student continues to enroll in this course until the thesis is submitted for binding.
67,Adult Education (ADED),ADED 7325. Teaching Adults: Principles and Practices.,3,3,0,Standard Letter,"Seminar that addresses methods and techniques for effective instruction of adults across a variety of settings and content. Emphasis on concepts, theories, and principles relevant to the selection, use, and evaluation of instructional strategies. Participants will have an opportunity to practice strategies that expand their teaching repertoire."
68,Adult Education (ADED),ADED 7337. Adult Literacy.,3,3,0,Standard Letter,"This course is designed to provide students with a broad foundation about the needs of undereducated students with a broad foundation about the needs of undereducated adults, including adult English language learners. Students will analyze and evaluate adult literacy legislation, instruction , research, and delivery systems."
69,Adult Education (ADED),ADED 7342. Adult ESL Methods and Materials.,3,3,0,Standard Letter,"This course reviews traditional and contemporary adult language teaching methodologies. It focuses on the design of lessons that integrate listening, speaking, reading, writing, culture and all language skills. This class provides strategies for choosing, adopting, and adapting textbooks that integrate teaching material appropriate to different adult language learning settings."
70,Adult Education (ADED),ADED 7343. Organizational Learning and Development.,3,3,0,Standard Letter,"The course addresses a range of topics, including the effects of change, methods of organizational change, and factors influencing organizational development success. Students learn the roles of internal and external organizational development consultants, tools and processes for helping organizational members identify problems, gather and analyze information, and implement solutions."
71,Adult Education (ADED),ADED 7344. Multicultural Perspectives in Postsecondary Education and Adult Education.,3,3,0,Standard Letter,"This seminar covers a broad range of topics related to diversity within postsecondary and adult education. Course readings and projects relate to a wide variety of setting including colleges and universities, adult literacy programs, the workplace, and community based organizations. Students who have completed ADED 5344 may not take this course for doctoral credit. (MULT)."
72,Adult Education (ADED),"ADED 7345. Current Issues in Adult, Continuing and Professional Education.",3,3,0,Standard Letter,A seminar style course focusing on current issues in continuing and professional education including research and professional practice. Specific emphasis will vary depending on changes in contemporary issues. Students who have completed ADED 5345 may not take this course for doctoral credit.
73,Adult Education (ADED),ADED 7346. Adult and Nontraditional Students in Higher Education.,3,3,0,Standard Letter,"This seminar focuses on the ""nontraditional student"" in higher education, with emphasis on undergraduates 25 and older. Also considered are other nontraditional students facing similar challenges to participation in higher education. Topics include student characteristics, motivations, barriers, persistence, and outcomes as well as institutional and programmatic responses to this population."
74,Aerospace Studies (A S),A S 1000. Leadership Laboratory.,0,0,2,Credit/No Credit,"An integral and mandatory two-hour lab accomplished concurrently with all Aerospace Studies courses. It is a progression of practical command and staff experiences that develop leadership potential. AFROTC cadets plan, organize, direct, coordinate, and control all activities. The lab is repeatable without credit because it focuses on different leadership processes."
75,Aerospace Studies (A S),A S 1110. The Air Force Today I.,1,1,0,Standard Letter,"A study of the doctrine, mission, and organization of the United States Air Force; United States strategic offensive and defensive forces, their missions and functions; and employment of nuclear weapons. Co-requisite: A S 1000."
76,Aerospace Studies (A S),A S 1120. The Air Force Today II.,1,1,0,Standard Letter,"An introduction to flight, oral and written communication for the Air Force officer, Air Force installations, the Air Force profession and how the Air Force integrates with the U.S. Army, Navy, Marines, and Coast Guard. Co-requisite: A S 1000."
77,Aerospace Studies (A S),A S 2110. The Development of Air Power I.,1,1,0,Standard Letter,"A historical study of the development of air and space power beginning before the first powered flights through WWI, the inter-war years, and WWII, tracing the development of various air power concepts with a focus on factors prompting aerospace research and technological change. Co-requisite: A S 1000."
78,Aerospace Studies (A S),A S 2120. The Development of Air Power II.,1,1,0,Standard Letter,"A continuation of A S 2110 studying the historical development of air and space power from Vietnam to the present. Events and trends in the history of airpower are examined, emphasizing examples of the impact of air and space power on strategic thought. Co-requisite: A S 1000."
79,Aerospace Studies (A S),A S 3311. Leadership and Management I.,3,3,0,Standard Letter,"A study of the framework of leadership in the Air Force (AF), part 1. Practical case studies examine AF leadership and management situations and discipline and ethics scenarios that demonstrate applications of the concepts. The course emphasizes communication skills used by officers in the AF. Co-requisite: A S 1000."
80,Aerospace Studies (A S),A S 3312. Leadership and Management II.,3,3,0,Standard Letter,"A study of the framework of leadership in the Air Force (AF), part 2. Practical case studies examine AF leadership and management situations and discipline and ethics scenarios that demonstrate applications of the concepts. The course emphasizes communication skills used by officers in the AF. Co-requisite: A S 1000."
81,Aerospace Studies (A S),A S 4311. National Security Forces in Contemporary American Society I.,3,3,0,Standard Letter,"Part 1 of the study of professional Air Force (AF) officers in a democratic society; societal attitudes toward the armed forces; national defense structure, policy development; and military law. AFROTC cadets study topics that prepare them for duty as AF officers. The course emphasizes AF communication skills. Co-requisite: A S 1000."
82,Aerospace Studies (A S),A S 4312. National Security Forces in Contemporary American Society II.,3,3,0,Standard Letter,"Part 2 of the study of professional Air Force (AF) officers in a democratic society; societal attitudes toward the armed forces; national defense structure, policy development; and military law. AFROTC cadets study topics that prepare them for duty as AF officers. The course emphasizes AF communication skills. Co-requisite: A S 1000."
83,African American Studies (AAS),AAS 2310. Introduction to African American Studies.,3,3,0,Standard Letter,"Course provides an overview of black culture in America from an interdisciplinary approach, employing scholarship from history, literature, music, visual and performing arts, folklore, religion, sociology, psychology, philosophy, economics, and political science.  It introduces epistemological considerations, theories, and methods that form the field of African American and African Diaspora Studies. (MULT)."
84,African American Studies (AAS),"AAS 3310A. Blacks, Film, and Society.",3,3,0,Standard Letter,"This course examines Black American cinema between 1919 and the present and how film can help society better understand black history, black culture, and the black experience in America. The course also explores what each film teaches Blacks about Blacks and what film teaches Whites and other groups about Blacks."
85,African American Studies (AAS),AAS 3399. Negotiating the Color Line.,3,3,0,Standard Letter,This course examines how Black Americans have negotiated the Black-White color line from the 1800s to the present day.
86,African American Studies (AAS),AAS 4320. Global Perspectives on the African Diaspora.,3,3,0,Standard Letter,"Course connects the transatlantic slave trade, contemporary migrations, their legacies, and speaks to the broader issues of the African diaspora in relation to previous and ongoing struggles of black people for rebirth, progress, justice, and racial uplift.  Examines African Diasporic women’s definition of feminism while suggesting no universal black feminism. (MULT)."
87,African American Studies (AAS),AAS 4388. Independent Research in African American Studies.,3,3,0,Standard Letter,"Independent study course open to advanced students on an individual or small group basis. The research area in African American Studies, bibliography, and study paper outline are to be approved by the instructor."
88,Agriculture (AG),AG 1110. Careers in Agriculture.,1,1,0,Standard Letter,This course is an introduction to careers available in the broad field of agriculture including an overview of personal and career qualifications needed for workplace success.
89,Agriculture (AG),AG 1445. Basic Animal Science.,4,3,2,Standard Letter,"An introductory course designed to acquaint students with the importance of the livestock industry. A study of the types and breeds; market classes and grades of beef cattle, swine, sheep, goats, horses, and poultry; attention will be given to breeding, judging, care, and management."
90,Agriculture (AG),AG 2313. Agronomic Crops.,3,2,2,Standard Letter,"A study of the production, harvest practices, storage, and use of cereal and feed grains, fiber crops, forages, and other related crops requiring special technology."
91,Agriculture (AG),AG 2345. Horse Management.,3,2,2,Standard Letter,"A course designed as a broad but thorough coverage of most areas of horse husbandry and production, including anatomy, physiology, breeding, feeding, training, and health care. Laboratory sessions are designed to acquaint the student with modern methods of breeding, training, and care of the horse."
92,Agriculture (AG),AG 2373. Introduction to Agricultural Engineering.,3,2,2,Standard Letter,"An introductory course designed to acquaint students with a wide range of concepts, principles and applied technologies in agricultural engineering. A problem solving course."
93,Agriculture (AG),AG 2374. Metal Fabrication and Welding Technology for Agriculture.,3,2,2,Standard Letter,"This course covers the principles and practices of applied metallurgy and welding. Emphasis is given to the management of the technologies and techniques associated with oxy-fuel cutting, shielded metal arc welding (SMAW), Gas Metal Arc Welding (GMAW), Gas Tungsten Arc Welding (GTAW), and Plasma Arc Cutting (PAC). Prerequisite: AG 2373 with a grade of ""D"" or better."
94,Agriculture (AG),AG 2379. General Horticulture.,3,2,2,Standard Letter,A survey of the general field of horticulture including general areas of employment.
95,Agriculture (AG),AG 2383. Introduction to Agricultural Economics.,3,3,0,Standard Letter,The role of agriculture in the general economy; the study of basic economic concepts with their application to the agricultural firm; the structure and operation of the marketing system; the functional and institutional aspects of agricultural finance; international trade; and government farm programs.
96,Agriculture (AG),AG 2390. Computer Applications in Agriculture.,3,2,2,Standard Letter,"Introduction to computers and computer technology; operation and application of the computer in production agriculture and agricultural business, services and industries. Includes characteristics of computer hardware and software, accessing and using the computer in agriculture."
97,Agriculture (AG),AG 3301. Principles of Livestock Genetics.,3,3,0,Standard Letter,"This course focuses on the fundamental principles of genetics and their application to animals. The physical basis of Mendelian inheritance, expression and interaction of genes, gene frequency, linkage, sex linkage, inbreeding, line breeding, and crossbreeding as applied to selection indices for livestock are examined.  (WI) Prerequisites: AG 1445 and BIO 1130 and BIO 1330 all with grades of ""D"" or better."
98,Agriculture (AG),AG 3302. Herbaceous Plant Materials.,3,2,2,Standard Letter,"This course will include the identification, selection, use, and management of annuals, perennials, herbs, and ornamental grasses in the landscape. Each student will learn irrigation, fertilization, pruning, and other cultural needs of such plants. The laboratory will complement lecture."
